FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8,Theta,Phi
0,0.457195003409039,0.762281901367379,1,0.752250237465953,1,0.762281901367379,0.457195003409039,-90,-90
1,0,0.712281910739294,0.828949585619573,0.051378601663339,0.838381767404764,0.707314051013519,0.021597241625524,-90,-85
0.841198362939164,0.0595421958471635,0.785267579651223,1,0.544081328998954,0.979023043034387,0.757775637447925,0,-90,-80
0.583600752356621,0.412449226593513,0.747189420999725,0.0099519801180486,1,0,0.74738756373864,0.29289225155588,-90,-75
0.354747514895436,0.540626984260569,0.018582424883594,0.995191016771196,0.604164443841009,1,0,0.456865248343476,-90,-70
0,0.747165912552855,0.381079236859642,0.399727696391398,0.539052415897491,0.457978638516923,0.407459497813198,1,-90,-65
0.277222567671616,0.0961830212752417,1,0.101290326000515,0,0.101290326000515,1,0.096183021275242,-90,-60
0,0.912934973248367,1,0.657191434530642,0.834498501858727,0.692210040262147,0.978460516971293,0.530437510138778,-90,-55
0,0.4972327260104,0.300181905652167,0.974994491680653,0.468130038989602,1,0.267397076292131,0.521920812173039,-90,-50
0,0.216721270754253,0.625904603058392,0.415262945056506,1,0.415262945056506,0.625904603058392,0.216721270754254,-90,-45
0.0931205106671886,1,0.214852419078751,0.984378210655675,0,0.976393169729852,0.292301112144338,0.551095000609611,-90,-40
0.154450491609051,0.914578665562475,0,0.373352332166929,0.0486556818286827,0.403974647785937,0.0334226595328838,1,-90,-35
0,0.515737056392496,1,0.253216185994757,0.845567999662138,0.253216185994757,1,0.515737056392495,-90,-30
0.0881180448809791,0.857895466088675,0.237835627758995,0.00305307467494357,0.380552527861162,0,0.266180668063135,1,-90,-25
0.21919902329695,0.936373967692483,0.941963439109842,0.390333161813424,0,0.396905571002305,0.955534275545365,1,-90,-20
1,0.0694261910009941,0,0.588445852445834,0.493503499470037,0.57162825563765,0.024780118717996,0.188319629865151,-90,-15
1,0,0.518340885942326,0.615026209723088,0.4892724515362,0.617028372030601,0.50968419493601,0.0526655468190463,-90,-10
0.0997837087512997,0.96066825476934,0.761299941087667,0,0.402254342616187,0.00184417228344026,0.759689125704092,1,-90,-5
0.559334571079285,3.0847735370768e-16,0.0650947897400234,0.515557506381054,1,0.515557506381054,0.0650947897400234,0,-90,0
0.08164613608039,0,0.988901219985453,0.84797187392475,0.133660264023186,0.856945056135812,1,0.063764419354,-90,5
1,0.535278687305048,0.50000281597729,0.681621032170737,0,0.700760043456408,0.530430260856482,0.709481702406488,-90,10
0,0.511354612052758,0.389424359700951,0.414409896881424,1,0.428964897065731,0.375143081953117,0.537295584668919,-90,15
0,0.281985695411253,0.384093144185452,1,0.067137250875834,0.996031681970121,0.413866442118566,0.31008980899909,-90,20
1,0.491795293141753,0.147691057905092,0.629673147371691,0,0.630063911189269,0.146663680020896,0.494908683669937,-90,25
0,0.219760330674474,1,0.0654848854118929,0.313810486779117,0.065484885411893,1,0.219760330674474,-90,30
0,0.812928939616962,0.971130755005108,0.844852611149987,0.502316523868752,0.839445024517337,1,0.726044659022642,-90,35
0.773203321731605,0.470814996489841,0.319276020633331,0,1,0.00100655810263713,0.315324706437541,0.41365348324288,-90,40
0.0880653801906457,1,0.323951692445373,0.511525861032075,0,0.467860591837623,0.362966194696288,0.983997516801511,-90,45
0.398168126172469,0.881796577293008,0,0.597141681897992,0.713002886469402,0.576024477108724,0.0285055458259527,1,-90,50
0,0.959994327635675,0.381073577151801,1,0.480157115869627,0.998867375960816,0.389936548381463,0.918375981209957,-90,55
0,1,0.17655848624208,0.939304082508863,0.111592398627348,0.939304082508863,0.17655848624208,0.999999999999999,-90,60
0.927815195630221,0,0.0476982084414371,1,0.937458070092405,0.999464936558414,0.0460426550086115,0.00469274844216665,-90,65
0,1,0.461769029978236,0.127249374028342,0.031518624831645,0.117261514903982,0.452309796635168,0.939249438979667,-90,70
1,0.994946567909549,0.906829827184909,0,0.613600268926101,0.0678272552467006,0.841393923339582,0.549894602747724,-90,75
0,0.319496560099704,0.445236356073118,0.998967108294519,0.0197134468253871,1,0.446927162562226,0.403977474492941,-90,80
0,0.815587024567804,0.64538782320748,0.955562258615102,1,0.961961523419407,0.635719178056069,0.8342310225891,-90,85
0,1,0.0889214963504305,0.49704305598566,0.067347018563064,0.49704305598566,0.0889214963504306,1,-90,90
0,0.261035817870171,0.416615814427717,0.388656721240209,1,0.393569028403872,0.418454487102332,0.236570817031042,-85,-90
0.485827786911992,0.58181620053522,0.989934145964277,0.794806189069094,0,0.787575074029383,1,0.639488692419124,-85,-85
0,0.636624071997895,0.968893339291767,0.637092705122061,0.163599001806961,0.645946374172179,1,0.49498352290957,-85,-80
